ID,BTN_CODE,BTN_NAME,BTN_TITLE,MENU_ID,TYPE,STATUS
1,addCata,创建分类,创建分类,"9,020",1,1
2,modCataIcon,修改分类图标,修改分类图标,"9,020",2,1
3,renameCata,重命名分类,重命名分类,"9,020",2,1
4,delCata,删除分类,删除分类,"9,020",2,1
5,addView,创建视图 ,创建视图 ,"9,020",2,1
6,delView,删除视图,删除视图,"9,020",1,1
10,preView,预览视图,预览视图,"9,020",2,1
11,issueView,发布视图,发布视图,"9,020",2,1
12,copyView,复制视图,复制视图,"9,020",2,1
13,modViewIcon,修改视图图标,修改视图图标,"9,020",2,1
14,renameView,重命名视图,重命名视图,"9,020",2,1
15,modView,视图编辑,视图编辑,"9,020",2,1
,,,,,,
16,rest,还原,还原,"9,030",2,
17,del,删除,删除,"9,030",2,
,,,,,,
18,add, 新增预警,新增预警,9070,2,
19,mod,新增预警,新增预警,9070,2,
20,del,删除预警,删除预警,9070,2,
